id_noclegu	data_przyjazdu	data_wyjazdu	nr_dowodu	nr_pokoju	uslugi
168	2013-07-09	2013-07-10	ZRA543776	401	1000
169	2013-07-09	2013-07-10	TTT120645	407	1101
170	2013-07-09	2013-07-10	DTK214225	207	1110
171	2013-07-09	2013-07-10	EEE940235	409	1101
172	2013-07-09	2013-07-10	LEW271236	405	1000
173	2013-07-10	2013-07-11	RRE496315	316	1010
174	2013-07-10	2013-07-11	RLM713217	412	1100
175	2013-07-10	2013-07-11	URW282485	307	1000
176	2013-07-10	2013-07-11	TRW192264	111	1011
177	2013-07-10	2013-07-11	DWG351339	120	1100
178	2013-07-10	2013-07-11	SGT217959	413	1100
179	2013-07-10	2013-07-11	DAA377706	217	1010
180	2013-07-10	2013-07-11	SOE850213	214	1011
181	2013-07-10	2013-07-11	TNA411964	212	1110
182	2013-07-10	2013-07-11	BKW837550	112	1110
183	2013-07-10	2013-07-13	NCC661466	218	3000
184	2013-07-10	2013-07-11	RKJ710368	408	1000
185	2013-07-10	2013-07-11	OWA866865	119	1010
186	2013-07-10	2013-07-11	WOA600490	201	1010
187	2013-07-10	2013-07-11	RAC222073	115	0100
188	2013-07-10	2013-07-13	CMH328081	404	3031
189	2013-07-10	2013-07-11	LAA703384	305	1110
190	2013-07-10	2013-07-11	KLH143380	102	1000
191	2013-07-10	2013-07-11	OTK325652	503	1101
192	2013-07-10	2013-07-12	NCM689382	216	2001
193	2013-07-10	2013-07-11	EMC583136	306	1100
194	2013-07-10	2013-07-11	UZW764717	107	1000
195	2013-07-10	2013-07-11	EGM129288	320	1011
196	2013-07-10	2013-07-11	RRD173718	215	1000
197	2013-07-10	2013-07-14	EGP450196	419	4041
198	2013-07-10	2013-07-12	JAA932190	501	2020
199	2013-07-10	2013-07-11	SIS395155	108	1010
200	2013-07-10	2013-07-13	BRK348644	507	3030
201	2013-07-10	2013-07-11	LTK777012	510	1111
202	2013-07-10	2013-07-13	RGD616350	204	3000
203	2013-07-10	2013-07-11	ARE827054	505	0000
204	2013-07-10	2013-07-11	LCH632813	506	1001
205	2013-07-10	2013-07-11	IGZ553587	402	1111
206	2013-07-10	2013-07-13	RMS452742	113	0030
207	2013-07-10	2013-07-11	LTE578796	319	0110
208	2013-07-10	2013-07-11	KCD664951	301	1110
209	2013-07-11	2013-07-12	CAK316672	311	0000
210	2013-07-11	2013-07-12	DCM709317	415	0100
211	2013-07-11	2013-07-12	NAW526772	101	1100
212	2013-07-11	2013-07-12	WTD477822	219	1011
213	2013-07-11	2013-07-12	LKT701595	205	1001
214	2013-07-12	2013-07-13	ROK348269	303	1010
215	2013-07-12	2013-07-13	EMW201788	403	1110
216	2013-07-12	2013-07-13	BRH573142	313	0100
217	2013-07-12	2013-07-13	JEH377028	118	1010
218	2013-07-12	2013-07-13	ETT310415	318	1100
219	2013-07-12	2013-07-14	TOF917869	420	2221
220	2013-07-12	2013-07-13	NKF274491	202	1010
221	2013-07-12	2013-07-13	LRE534233	210	1000
222	2013-07-12	2013-07-13	LGS507566	206	1000
223	2013-07-12	2013-07-13	LKK704580	105	1010
224	2013-07-12	2013-07-14	SAS253401	116	2200
225	2013-07-12	2013-07-13	RZR206511	302	1010
226	2013-07-12	2013-07-13	RIG854360	308	1000
227	2013-07-12	2013-07-13	ALD140562	314	1010
228	2013-07-12	2013-07-13	TWM724248	504	1000
229	2013-07-12	2013-07-13	MER148837	414	1110
230	2013-07-12	2013-07-13	RNR289601	109	1001
231	2013-07-12	2013-07-13	ITK752384	508	1000
232	2013-07-13	2013-07-14	LRS759564	315	1110
233	2013-07-13	2013-07-14	HYR100068	406	1010
234	2013-07-13	2013-07-15	TAE764889	312	2220
235	2013-07-14	2013-07-15	RTR995050	213	0101
236	2013-07-15	2013-07-16	GJG348490	410	1000
237	2013-07-15	2013-07-16	LKP438176	411	1110
238	2013-07-15	2013-07-16	CNE544676	113	1011
239	2013-07-15	2013-07-16	MZP112190	412	1010
240	2013-07-15	2013-07-16	DSD263750	317	1100
241	2013-07-15	2013-07-16	GAP884529	417	1110
242	2013-07-15	2013-07-16	IYH931501	310	1110
243	2013-07-15	2013-07-16	EGF366721	509	1000
244	2013-07-15	2013-07-16	ANH308609	502	1000
245	2013-07-15	2013-07-16	TMW589808	209	1100
246	2013-07-15	2013-07-16	YCF207355	117	1111
247	2013-07-15	2013-07-16	ZKK376476	416	1100
248	2013-07-15	2013-07-16	ROR270312	313	1001
249	2013-07-15	2013-07-18	SSR774697	315	3101
250	2013-07-15	2013-07-16	UCW965716	319	1000
251	2013-07-15	2013-07-18	SGH173561	109	3000
252	2013-07-16	2013-07-18	ICH648336	117	2002
253	2013-07-15	2013-07-16	ECA721922	304	1000
254	2013-07-15	2013-07-16	OFW124955	405	1010
255	2013-07-15	2013-07-16	GRA854457	208	1100
256	2013-07-15	2013-07-16	CBS533238	202	1010
257	2013-07-15	2013-07-16	CRG324398	120	0000
258	2013-07-15	2013-07-16	EAA964810	303	1010
259	2013-07-15	2013-07-17	WNG205100	215	2220
260	2013-07-15	2013-07-20	KTK945204	216	5300
261	2013-07-15	2013-07-16	CCW781151	204	1110
262	2013-07-15	2013-07-16	NRX509087	114	1100
263	2013-07-15	2013-07-18	OIT932704	115	3000
264	2013-07-15	2013-07-16	RCM902132	110	1110
265	2013-07-15	2013-07-16	SOM831460	409	0000
266	2013-07-15	2013-07-16	EYD791158	111	1000
267	2013-07-15	2013-07-17	TOF917869	218	2020
268	2013-07-15	2013-07-16	RNG257822	316	1001
269	2013-07-15	2013-07-16	LNR174746	217	1000
270	2013-07-16	2013-07-17	EDJ564662	119	1101
271	2013-07-16	2013-07-17	EDA946558	408	1010
272	2013-07-16	2013-07-17	NMZ567271	415	1001
273	2013-07-16	2013-07-17	LCD769665	506	1101
274	2013-07-16	2013-07-17	DZS379713	505	1110
275	2013-07-16	2013-07-17	KYR815614	211	1010
276	2013-07-16	2013-07-17	NGC432837	307	1110
277	2013-07-16	2013-07-19	AWD873194	502	3031
278	2013-07-16	2013-07-17	LME446776	507	1000
279	2013-07-16	2013-07-17	KLS689304	311	1111
280	2013-07-16	2013-07-17	WOR834088	413	1010
281	2013-07-16	2013-07-17	RCK722634	116	1010
282	2013-07-16	2013-07-17	BCS506328	312	1011
283	2013-07-16	2013-07-17	SND420460	105	1001
284	2013-07-16	2013-07-17	ENX555437	103	1010
285	2013-07-16	2013-07-17	ADC445140	314	1010
286	2013-07-16	2013-07-17	DUZ765135	418	1001
287	2013-07-16	2013-07-17	RYB976917	417	1010
288	2013-07-16	2013-07-17	HRH759928	310	1000
289	2013-07-16	2013-07-17	ANS205833	406	1010
290	2013-07-16	2013-07-17	WTC860360	216	1011
291	2013-07-16	2013-07-17	PMS940809	510	1000
292	2013-07-16	2013-07-17	ATS639829	320	1101
293	2013-07-16	2013-07-17	HAU986238	101	1000
294	2013-07-16	2013-07-17	EDJ564662	403	1110
295	2013-07-16	2013-07-17	RNM806180	318	1001
296	2013-07-16	2013-07-17	DTK756704	206	1000
297	2013-07-16	2013-07-17	ZJR270357	407	1001
298	2013-07-16	2013-07-17	JLX908856	412	1111
299	2013-07-16	2013-07-17	NGS627376	402	1110
300	2013-07-16	2013-07-17	ACC616316	210	1001
301	2013-07-16	2013-07-17	ORG855713	214	1111
302	2013-07-16	2013-07-17	KIA596943	302	1101
303	2013-07-16	2013-07-17	EGJ400397	509	1111
304	2013-07-16	2013-07-17	BRU920481	401	1000
305	2013-07-16	2013-07-17	LZF182009	209	1100
306	2013-07-16	2013-07-17	UJC323388	416	1100
307	2013-07-16	2013-07-17	OBH109787	107	1000
308	2013-07-16	2013-07-17	CAW778777	219	1010
309	2013-07-16	2013-07-17	PRR248178	414	1001
310	2013-07-17	2013-07-18	DCM709317	220	1001
311	2013-07-17	2013-07-18	RCP757375	503	1001
312	2013-07-17	2013-07-18	DKU640593	214	1101
313	2013-07-17	2013-07-18	ERH507747	415	0010
314	2013-07-17	2013-07-18	DNH167930	508	1010
315	2013-07-17	2013-07-18	ZOP335405	219	1111
316	2013-07-17	2013-07-18	ACW464933	205	1000
317	2013-07-17	2013-07-18	SRF122196	419	1011
318	2013-07-17	2013-07-18	KBA610895	201	1010
319	2013-07-17	2013-07-18	KWC365202	113	1011
320	2013-07-17	2013-07-18	NRU104496	501	1010
321	2013-07-17	2013-07-18	LTA696511	301	0010
322	2013-07-17	2013-07-18	NEM359942	418	1101
323	2013-07-17	2013-07-18	ORM345434	504	1010
324	2013-07-17	2013-07-18	KLS689304	411	1011
325	2013-07-17	2013-07-18	RMR532011	306	1000
326	2013-07-17	2013-07-18	RNW227917	112	1000
327	2013-07-17	2013-07-18	SRP817311	308	0000
328	2013-07-17	2013-07-18	ARC412835	203	1000
329	2013-07-17	2013-07-18	RCU712132	314	1000
330	2013-07-17	2013-07-18	OAK669674	305	0010
331	2013-07-17	2013-07-18	UMH349005	420	1010
332	2013-07-17	2013-07-18	NBK531237	119	1100
333	2013-07-17	2013-07-18	OBH310812	105	1010
334	2013-07-17	2013-07-18	OZC559622	404	1000
335	2013-07-17	2013-07-18	RTT621570	102	1010
336	2013-07-17	2013-07-18	KLF735943	309	1000
337	2013-07-17	2013-07-18	BLP133931	317	1100
338	2013-07-17	2013-07-18	ALG954893	302	1010
339	2013-07-17	2013-07-18	OTH903193	209	1100
340	2013-07-17	2013-07-18	COA220333	401	1110
341	2013-07-17	2013-07-18	NAD322028	207	1000
342	2013-07-17	2013-07-18	AZM745127	114	1001
343	2013-07-17	2013-07-18	MCM127068	210	1010
344	2013-07-17	2013-07-18	KRD736739	414	1010
345	2013-07-17	2013-07-18	JRA585894	417	1000
346	2013-07-17	2013-07-18	ZCR184614	402	1000
347	2013-07-17	2013-07-19	SSG692556	307	2200
348	2013-07-17	2013-07-19	DUZ765135	509	2201
349	2013-07-17	2013-07-18	UCW965716	409	1000
350	2013-07-17	2013-07-18	OTK325652	505	1100
351	2013-07-17	2013-07-18	KLS689304	319	1110
352	2013-07-17	2013-07-18	AZM745127	407	1001
353	2013-07-17	2013-07-19	STF452258	101	2200
354	2013-07-17	2013-07-21	ICA691178	104	0240
355	2013-07-17	2013-07-18	KBA610895	106	1100
356	2013-07-17	2013-07-19	SDS398388	118	2020
357	2013-07-17	2013-07-18	ROR270312	506	1110
358	2013-07-17	2013-07-18	DDH426048	410	1000
359	2013-07-17	2013-07-18	ALD140562	116	1111
360	2013-07-17	2013-07-18	GJG348490	213	1010
361	2013-07-17	2013-07-19	ODM448499	108	2001
362	2013-07-17	2013-07-18	LRS863481	412	1011
363	2013-07-17	2013-07-19	BTS689878	315	2002
364	2013-07-18	2013-07-19	PWF970350	413	1110
365	2013-07-18	2013-07-19	GMU219892	508	1100
366	2013-07-18	2013-07-19	ATS639829	102	1010
367	2013-07-18	2013-07-19	RRP910432	119	1000
368	2013-07-18	2013-07-19	EKS173833	217	1100
369	2013-07-18	2013-07-19	ROK348269	107	1100
370	2013-07-18	2013-07-19	YNM703390	317	1011
371	2013-07-18	2013-07-19	LCH632813	303	1001
372	2013-07-18	2013-07-19	COR595349	312	1000
373	2013-07-18	2013-07-19	IRP123227	414	1100
374	2013-07-18	2013-07-19	SKG244679	208	1010
375	2013-07-18	2013-07-19	ZAM643581	114	1000
376	2013-07-18	2013-07-19	EFC411984	111	1000
377	2013-07-18	2013-07-19	CWX292673	308	0011
378	2013-07-18	2013-07-19	ERM639718	504	1101
379	2013-07-18	2013-07-19	GRA854457	212	1110
380	2013-07-18	2013-07-19	AWC857314	313	1011
381	2013-07-18	2013-07-19	BJZ440337	510	0011
382	2013-07-18	2013-07-19	OZC559622	110	1000
383	2013-07-18	2013-07-20	RRD173718	418	2000
384	2013-07-18	2013-07-19	SRF122196	503	1100
385	2013-07-18	2013-07-19	OGX774178	201	1000
386	2013-07-18	2013-07-19	ACC616316	220	1011
387	2013-07-18	2013-07-19	ISS721407	304	1110
388	2013-07-18	2013-07-19	ZRA543776	215	1010
389	2013-07-18	2013-07-19	WNR299306	507	0000
390	2013-07-18	2013-07-19	LKA793908	211	1100
391	2013-07-19	2013-07-21	LTE578796	405	2000
392	2013-07-20	2013-07-21	EDJ564662	219	1111
393	2013-07-21	2013-07-22	LTC625003	216	1000
394	2013-07-21	2013-07-22	RKU612187	112	1000
395	2013-07-22	2013-07-25	ZRU357724	502	0001
396	2013-07-22	2013-07-24	ENM223774	305	2200
397	2013-07-22	2013-07-24	ECW163676	311	2000
398	2013-07-22	2013-07-23	EGF366721	120	1100
399	2013-07-22	2013-07-23	KYR815614	318	1001
400	2013-07-22	2013-07-23	AEP439734	420	1011
401	2013-07-22	2013-07-23	SOE850213	206	1010
402	2013-07-22	2013-07-23	WYW987928	219	1111
403	2013-07-22	2013-07-23	LNB791788	509	1010
404	2013-07-22	2013-07-23	URM202641	403	1010
405	2013-07-22	2013-07-23	UNC608098	415	1111
406	2013-07-22	2013-07-23	KYD269424	404	1000
407	2013-07-22	2013-07-24	EAA964810	105	2000
408	2013-07-22	2013-07-23	DRT694737	314	1000
409	2013-07-22	2013-07-23	UMH349005	419	1110
410	2013-07-22	2013-07-23	YKE138172	306	1010
411	2013-07-22	2013-07-23	HRH759928	310	0111
412	2013-07-22	2013-07-23	ART903424	316	1010
413	2013-07-22	2013-07-24	RDM401801	202	2020
414	2013-07-22	2013-07-23	KME225869	115	1100
415	2013-07-22	2013-07-23	WTD477822	103	1001
416	2013-07-22	2013-07-23	ZRW627657	203	1101
417	2013-07-22	2013-07-24	GOR329905	320	2000
418	2013-07-22	2013-07-23	DRT331538	204	1111
419	2013-07-22	2013-07-23	MRE842090	109	1010
420	2013-07-22	2013-07-23	EAA371399	101	1011
421	2013-07-22	2013-07-23	MCM424134	214	0000
422	2013-07-23	2013-07-24	LCM712208	118	1010
423	2013-07-23	2013-07-24	IRG849385	419	1000
424	2013-07-23	2013-07-24	ZWU963805	308	1011
425	2013-07-23	2013-07-24	ERH507747	318	1110
426	2013-07-23	2013-07-24	JLX908856	213	0000
427	2013-07-23	2013-07-24	SSR774697	203	1100
428	2013-07-23	2013-07-24	RRT256665	410	1000
429	2013-07-23	2013-07-24	GBC806236	402	1000
430	2013-07-23	2013-07-24	HRW933388	210	1000
431	2013-07-23	2013-07-24	SNW370770	115	1110
432	2013-07-23	2013-07-24	NAS925185	201	0100
433	2013-07-23	2013-07-24	HYR100068	317	1000
434	2013-07-23	2013-07-25	SRS709149	506	2220
435	2013-07-23	2013-07-24	LNR174746	102	1100
436	2013-07-23	2013-07-26	CAB693780	220	3330
437	2013-07-23	2013-07-24	AOA474975	204	1010
438	2013-07-23	2013-07-24	DZS379713	211	1000
439	2013-07-23	2013-07-24	ABT576619	315	1011
440	2013-07-23	2013-07-24	ZOG170650	108	1000
441	2013-07-23	2013-07-24	TNA411964	304	1101
442	2013-07-23	2013-07-26	TLM785173	503	3001
443	2013-07-23	2013-07-25	WNG205100	509	0200
444	2013-07-23	2013-07-24	BRU920481	306	1101
445	2013-07-23	2013-07-24	TEW846297	307	1100
446	2013-07-23	2013-07-24	IWC228317	409	1010
447	2013-07-23	2013-07-24	ODF470998	415	1001
448	2013-07-23	2013-07-24	LRE534233	411	1010
449	2013-07-23	2013-07-24	IYH931501	412	1000
450	2013-07-23	2013-07-24	DRX138985	114	1000
451	2013-07-23	2013-07-24	ZAM370165	418	1000
452	2013-07-23	2013-07-25	URC730767	316	2000
453	2013-07-23	2013-07-24	WNC820948	112	1011
454	2013-07-23	2013-07-25	EGP450196	309	2220
455	2013-07-23	2013-07-24	ALG954893	404	1110
456	2013-07-23	2013-07-24	GRG440995	416	1010
457	2013-07-23	2013-07-24	ANJ474445	508	1000
458	2013-07-23	2013-07-27	DTK214225	119	0400
459	2013-07-24	2013-07-25	EMP367143	319	1101
460	2013-07-24	2013-07-25	SRW757730	310	1010
461	2013-07-24	2013-07-25	JGU251735	414	0000
462	2013-07-24	2013-07-25	LRT604355	207	1010
463	2013-07-24	2013-07-25	LTK777012	104	1010
464	2013-07-24	2013-07-25	ALX130175	111	1100
465	2013-07-24	2013-07-25	ATE457269	206	1110
466	2013-07-24	2013-07-25	EKA102529	320	1010
467	2013-07-24	2013-07-25	SCF624636	417	1101
468	2013-07-24	2013-07-25	EMT811823	205	1100
469	2013-07-24	2013-07-25	ENX555437	401	1000
470	2013-07-24	2013-07-25	UOK694317	215	1010
471	2013-07-24	2013-07-25	JGU918296	117	1010
472	2013-07-24	2013-07-25	ZOP335405	120	1000
473	2013-07-24	2013-07-25	DTK756704	218	1000
474	2013-07-24	2013-07-25	SRP817311	505	1001
475	2013-07-24	2013-07-25	MOE708692	408	1011
476	2013-07-24	2013-07-25	NEM359942	305	1010
477	2013-07-24	2013-07-25	GGC146114	106	1000
478	2013-07-24	2013-07-25	RKM135138	103	1010
479	2013-07-24	2013-07-25	IZW401997	208	0111
480	2013-07-24	2013-07-25	CAC290569	109	1101
481	2013-07-24	2013-07-25	DRF119555	301	1100
482	2013-07-24	2013-07-25	PAM479742	501	1001
483	2013-07-24	2013-07-25	RTT621570	302	1010
484	2013-07-24	2013-07-25	BRX296675	406	1000
485	2013-07-24	2013-07-25	SRS972884	312	1000
486	2013-07-24	2013-07-25	CAK316672	504	1010
487	2013-07-24	2013-07-27	AZA699826	107	0000
488	2013-07-24	2013-07-25	MNZ883486	313	1011
489	2013-07-24	2013-07-25	ROK864193	116	1111
490	2013-07-24	2013-07-25	RCM902132	420	1010
491	2013-07-24	2013-07-27	GTB460294	407	3300
492	2013-07-24	2013-07-25	LKT701595	311	1100
493	2013-07-24	2013-07-25	TWJ280267	216	1001
494	2013-07-24	2013-07-26	EKM402045	413	2000
495	2013-07-24	2013-07-25	ANA920725	303	0100
496	2013-07-24	2013-07-25	CCE673359	202	1110
497	2013-07-24	2013-07-26	PBW324199	110	2020
498	2013-07-24	2013-07-25	AKR293566	212	1000
499	2013-07-24	2013-07-26	IOH857386	217	0200
500	2013-07-24	2013-07-25	OAF401894	507	1010
501	2013-07-24	2013-07-26	TAW810112	314	2000
502	2013-07-25	2013-07-26	MYU948400	408	1010
503	2013-07-25	2013-07-26	CAT747380	502	1010
504	2013-07-25	2013-07-26	RRE496315	510	1000
505	2013-07-25	2013-07-26	MOG325502	403	1110
506	2013-07-25	2013-07-26	BRH573142	219	1111
507	2013-07-25	2013-07-26	IGC681225	105	1100
508	2013-07-25	2013-07-26	ONA523392	209	1001
509	2013-07-25	2013-07-26	SLF932637	113	1000
510	2013-07-25	2013-07-26	JAU314979	419	1000
511	2013-07-25	2013-07-26	TTT120645	202	1000
512	2013-07-25	2013-07-26	ETZ924648	111	1110
513	2013-07-25	2013-07-26	TOF917869	102	1000
